Timestamp, MAC Address, Name, Packet Type, Data, Hits, dB, Channel
20240321075807,78:AF:32:DD:F3:18,,ADV_NONCONN_IND,0x02011A17FF4C000908130AC0A832421B5816080071EF128A3575DE,25,2,37,                         
20240321075807,4D:E1:F5:76:7B:28,,ADV_IND,0x02011A020A0C0AFF4C0010050F1CDACFF2,33,2,37,                                                     
20240321075805,6F:3A:5C:B7:E2:18,,SCAN_REQ,0x287B76F5E14D,14,2,37,                                                                          
20240321075753,F7:C8:27:2C:5B:D4,,ADV_NONCONN_IND,0x07FF4C0012020002,3,2,37,                                                                
20240321075752,D1:11:40:90:CA:0F,,ADV_NONCONN_IND,0x0201060302AFFE1716AFFE1303AE46E9700600ABB722B9B18C3EA16D2B4189,2,2,37,                  
20240321075806,62:DB:CF:F7:D9:A6,Scarlett,ADV_IND,0x02011A020A0C0BFF4C0010060A1D66E77628,29,0,37,                                           
20240321075801,E3:1A:DE:7D:A9:34,,ADV_NONCONN_IND,0x07FF4C0012020002,8,-2,37,                                                               
20240321075755,65:B3:E8:E5:34:2D,,ADV_IND,0x02011A020A080AFF4C0010052E182B9F95,3,-8,37,                                                     
20240321075807,51:62:01:BE:FB:ED,,SCAN_REQ,0x04EFDB1C4C68,197,-15,37,                                                                       
20240321075807,F5:42:3C:C1:58:33,Scarlett,SCAN_RSP,0x1BFF3404525465FBE89443F763AB8E53035D45000000000050C26500,161,-15,37,                   
20240321075803,78:6C:84:D9:F3:4B,,SCAN_REQ,0xC0700DFF5674,33,-16,37,                                                                        
20240321075806,5D:5F:CE:70:E0:22,,SCAN_REQ,0x287B76F5E14D,9,-19,37,                                                                         
20240321075805,78:6C:84:CB:02:DA,,SCAN_REQ,0x1616B6E22748,32,-19,37,                                                                        
20240321075748,7F:2A:F8:14:E1:F2,,SCAN_REQ,0xA134ADA8EC68,5,-19,37,                                                                         
20240321075806,F5:42:3C:C1:58:33,Scarlett,ADV_IND,0x0209536361726C65747402010603030A1804160F1864,24,-20,37,                                 
20240321075803,E3:C5:8D:1E:16:FD,N0971,ADV_IND,0x0201060302AFFE06094E30393731,7,-20,37,                                                     
20240321075759,32:C3:4E:83:A5:DB,,ADV_NONCONN_IND,0x02011A0DFF4C0009081324C0A801071B58,5,-20,37,                                            
20240321075756,90:A8:22:CC:AF:7F,,SCAN_REQ,0x0DEF7910E265,9,-20,37,                                                                         
20240321075750,63:D9:3C:55:03:2A,,SCAN_REQ,0x41100AD70252,2,-21,37,                                                                         
20240321075746,68:FC:CA:F2:ED:09,,ADV_NONCONN_IND,0x1BFF7500420401806668FCCAF2ED096AFCCAF2ED0801000000000000,1,-21,37,                      
20240321075746,E9:9F:68:70:CD:6D,,ADV_NONCONN_IND,0x07FF4C0012020002,2,-21,37,                                                              
20240321075742,6C:4A:85:01:6E:5C,,ADV_IND,0x02011A020A0C0AFF4C0010050814C89A49,3,-21,37,                                                    
20240321075807,62:B9:54:3F:0C:6A,,SCAN_REQ,0x0DE2425EC94C,23,-22,37,                                                                        
20240321075802,E8:10:EF:C2:C9:D8,Willow,ADV_IND,0x070957696C6C6F7702010603030A1804160F1864,38,-22,37,                                       
20240321075758,18:11:A3:3A:5E:52,,ADV_NONCONN_IND,0x1EFF0600010920221ECF2BA4FF12B3BD2CC1B2A2D3E4B7CACEA8E4CECFBBBE,4,-22,37,                
20240321075756,CD:C7:22:E2:36:AF,,ADV_NONCONN_IND,0x07FF4C0012020000,1,-22,37,                                                              
20240321075751,48:AA:54:73:A3:6A,,ADV_SCAN_IND,0x1DFF2D0102000110709F2110BEE745DD9F9DA9689B3E819D647FCBE33ECB,1,-22,37,                     
20240321075806,45:DC:46:9E:67:0C,,SCAN_REQ,0xA134ADA8EC68,5,-23,37,                                                                         
